icd,kw
T48,ngộ độc do thuốc tác động chủ yếu trên cơ trơn và cơ xương và hệ thống hô hấp
T48.0,ngộ độc thuốc trợ đẻ
T48.1,ngộ độc thuốc giãn cơ ( thuốc ức chế thần kinh cơ )
M54.83,"các đau vùng phía sau cơ thể khác , vùng cổ lưng"
M54.84,"các đau vùng phía sau cơ thể khác , vùng ngực"
M54.85,"các đau vùng phía sau cơ thể khác , vùng ngực thắt lưng"
M60.12,"viêm tổ chức kẽ của cơ , cánh tay"
M60.13,"viêm tổ chức kẽ của cơ , cẳng tay"
M60.14,"viêm tổ chức kẽ của cơ , bàn tay"
M60.15,"viêm tổ chức kẽ của cơ , vùng chậu và đùi"
M60.16,"viêm tổ chức kẽ của cơ , cẳng chân"
M60.17,"viêm tổ chức kẽ của cơ , cổ và bàn chân"
M60.18,"viêm tổ chức kẽ của cơ , vị trí khác"
M60.19,"viêm tổ chức kẽ của cơ , vị trí không xác định"
M60.2,"u hạt mô mềm do dị vật , không phân loại nơi khác"
M60.08,"viêm cơ nhiễm khuẩn , vị trí khác"
M60.09,"viêm cơ nhiễm khuẩn , vị trí không xác định"
M60.1,viêm tổ chức kẽ của cơ
M60.10,"viêm tổ chức kẽ của cơ , nhiều vị trí"
M60.11,"viêm tổ chức kẽ của cơ , vùng bả vai"
M60.85,"các loại viêm cơ khác , vùng chậu và đùi"
M60.86,"các loại viêm cơ khác , cẳng chân"
M60.87,"các loại viêm cơ khác , cổ và bàn chân"
M60.81,"các loại viêm cơ khác , vùng bả vai"
M60.82,"các loại viêm cơ khác , cánh tay"
M60.83,"các loại viêm cơ khác , cẳng tay"
M60.84,"các loại viêm cơ khác , bàn tay"
M60.06,"viêm cơ nhiễm khuẩn , cẳng chân"
M60.07,"viêm cơ nhiễm khuẩn , cổ và bàn chân"
M60.24,"u hạt mô mềm do dị vật , không phân loại nơi khác , bàn tay"
M60.25,"u hạt mô mềm do dị vật , không phân loại nơi khác , vùng chậu và đùi"
M60.26,"u hạt mô mềm do dị vật , không phân loại nơi khác , cẳng chân"
M60.27,"u hạt mô mềm do dị vật , không phân loại nơi khác , cổ và bàn chân"
M60.28,"u hạt mô mềm do dị vật , không phân loại nơi khác , vị trí khác"
M60.29,"u hạt mô mềm do dị vật , không phân loại nơi khác , vị trí không xác định"
M60.8,các loại viêm cơ khác
M60.80,"các loại viêm cơ khác , nhiều vị trí"
M60.20,"u hạt mô mềm do dị vật , không phân loại nơi khác , nhiều vị trí"
M60.21,"u hạt mô mềm do dị vật , không phân loại nơi khác , vùng bả vai"
M60.22,"u hạt mô mềm do dị vật , không phân loại nơi khác , cánh tay"
M60.23,"u hạt mô mềm do dị vật , không phân loại nơi khác , cẳng tay"
M49.13*,"viêm đốt sống do brucella ( a23 . - † ) , vùng cổ lưng"
M49.14*,"viêm đốt sống do brucella ( a23 . - † ) , vùng ngực"
M49.15*,"viêm đốt sống do brucella ( a23 . - † ) , vùng ngực thắt lưng"
M61.0,viêm cơ cốt hóa do chấn thương
M61.1,viêm cơ cốt hóa tiến triển
M61.2,vôi hóa và cốt hóa cơ do liệt
M61.3,vôi hóa và cốt hóa cơ liên quan đến bỏng
M62.02,"lỏng nhẽo cơ , cánh tay"
M62.03,"lỏng nhẽo cơ , cẳng tay"
M62.04,"lỏng nhẽo cơ , bàn tay"
M62.05,"lỏng nhẽo cơ , vùng chậu và đùi"
M62.14,"rách cơ khác ( không do chấn thương ) , bàn tay"
M62.15,"rách cơ khác ( không do chấn thương ) , vùng chậu và đùi"
M62.16,"rách cơ khác ( không do chấn thương ) , cẳng chân"
M62.10,"rách cơ khác ( không do chấn thương ) , nhiều vị trí"
M62.11,"rách cơ khác ( không do chấn thương ) , vùng bả vai"
M62.12,"rách cơ khác ( không do chấn thương ) , cánh tay"
M62.13,"rách cơ khác ( không do chấn thương ) , cẳng tay"
M61.4,các dạng vôi hóa cơ khác
M61.5,các dạng cốt hóa cơ khác
M61.9,các chứng vôi hóa và cốt hóa cơ không đặc hiệu
M62,các bệnh cơ khác
M62.0,lỏng nhẽo cơ
M62.00,"lỏng nhẽo cơ , nhiều vị trí"
M62.01,"lỏng nhẽo cơ , vùng bả vai"
M62.06,"lỏng nhẽo cơ , cẳng chân"
M62.07,"lỏng nhẽo cơ , cổ và bàn chân"
M62.08,"lỏng nhẽo cơ , vị trí khác"
M62.09,"lỏng nhẽo cơ , vị trí không xác định"
M62.1,rách cơ khác ( không do chấn thương )
M60.88,"các loại viêm cơ khác , vị trí khác"
M60.89,"các loại viêm cơ khác , vị trí không xác định"
M60.9,viêm cơ không đặc hiệu
M61,vôi hóa và cốt hóa cơ
M62.17,"rách cơ khác ( không do chấn thương ) , cổ và bàn chân"
M62.18,"rách cơ khác ( không do chấn thương ) , vị trí khác"
M62.19,"rách cơ khác ( không do chấn thương ) , vị trí không xác định"
M62.2,nhồi máu cơ do thiếu máu cục bộ
M62.20,"nhồi máu cơ do thiếu máu cục bộ , nhiều vị trí"
M62.21,"nhồi máu cơ do thiếu máu cục bộ , vùng bả vai"
M62.22,"nhồi máu cơ do thiếu máu cục bộ , cánh tay"
M62.23,"nhồi máu cơ do thiếu máu cục bộ , cẳng tay"
M62.24,"nhồi máu cơ do thiếu máu cục bộ , bàn tay"
M62.25,"nhồi máu cơ do thiếu máu cục bộ , vùng chậu và đùi"
M62.26,"nhồi máu cơ do thiếu máu cục bộ , cẳng chân"
M62.27,"nhồi máu cơ do thiếu máu cục bộ , cổ và bàn chân"
M62.28,"nhồi máu cơ do thiếu máu cục bộ , vị trí khác"
M62.29,"nhồi máu cơ do thiếu máu cục bộ , vị trí không xác định"
M62.3,hội chứng bất động ( liệt 2 chi dưới )
M54.05,"viêm mô mỡ dưới da tại vùng cổ và lưng , vùng ngực thắt lưng"
M54.06,"viêm mô mỡ dưới da tại vùng cổ và lưng , vùng thắt lưng"
M54.07,"viêm mô mỡ dưới da tại vùng cổ và lưng , vùng thắt lưng - cùng"
M48.35,"chấn thương cột sống , vùng ngực thắt lưng"
M48.36,"chấn thương cột sống , vùng thắt lưng"
M48.37,"chấn thương cột sống , vùng thắt lưng - cùng"
M48.38,"chấn thương cột sống , vùng cùng và cùng cụt"
M49.59*,"xẹp đốt sống trong các bệnh phân loại nơi khác , vị trí không xác định"
M49.8*,tổn thương thân đốt sống trong các bệnh phân loại nơi khác
M49.80*,"tổn thương thân đốt sống trong các bệnh phân loại nơi khác , nhiều vị trí cột sống"
M54.11,"bệnh rễ thần kinh tủy sống , vùng chẩm - trục - đội"
M54.12,"bệnh rễ thần kinh tủy sống , vùng cổ"
M54.13,"bệnh rễ thần kinh tủy sống , vùng cổ lưng"
M54.14,"bệnh rễ thần kinh tủy sống , vùng ngực"
M54.15,"bệnh rễ thần kinh tủy sống , vùng ngực thắt lưng"
M54.16,"bệnh rễ thần kinh tủy sống , vùng thắt lưng"
M54.08,"viêm mô mỡ dưới da tại vùng cổ và lưng , vùng cùng và cùng cụt"
M54.09,"viêm mô mỡ dưới da tại vùng cổ và lưng , vị trí không xác định"
M54.1,bệnh rễ thần kinh tủy sống
M54.10,"bệnh rễ thần kinh tủy sống , nhiều vị trí cột sống"
M54.17,"bệnh rễ thần kinh tủy sống , vùng thắt lưng - cùng"
M54.18,"bệnh rễ thần kinh tủy sống , vùng cùng và cùng cụt"
M54.0,viêm mô mỡ dưới da tại vùng cổ và lưng
M54.00,"viêm mô mỡ dưới da tại vùng cổ và lưng , nhiều vị trí cột sống"
M54.01,"viêm mô mỡ dưới da tại vùng cổ và lưng , vùng chẩm - trục - đội"
M53.92,"bệnh cột sống không đặc hiệu , vùng cổ"
M53.93,"bệnh cột sống không đặc hiệu , vùng cổ lưng"
M53.94,"bệnh cột sống không đặc hiệu , vùng ngực"
M53.95,"bệnh cột sống không đặc hiệu , vùng ngực thắt lưng"
M53.96,"bệnh cột sống không đặc hiệu , vùng thắt lưng"
M53.97,"bệnh cột sống không đặc hiệu , vùng thắt lưng - cùng"
M53.98,"bệnh cột sống không đặc hiệu , vùng cùng và cùng cụt"
M53.99,"bệnh cột sống không đặc hiệu , vị trí không xác định"
M54,đau lưng
M54.19,"bệnh rễ thần kinh tủy sống , vị trí không xác định"
M54.2,đau vùng cổ gáy
M67.30,"viêm màng hoạt dịch thoáng qua , nhiều vị trí"
M67.31,"viêm màng hoạt dịch thoáng qua , vùng bả vai"
M67.32,"viêm màng hoạt dịch thoáng qua , cánh tay"
M67.33,"viêm màng hoạt dịch thoáng qua , cẳng tay"
M67.80,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , nhiều vị trí"
M67.81,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , vùng bả vai"
M63.81*,"các bệnh cơ khác trong những bệnh phân loại nơi khác , vùng bả vai"
M63.82*,"các bệnh cơ khác trong những bệnh phân loại nơi khác , cánh tay"
M63.83*,"các bệnh cơ khác trong những bệnh phân loại nơi khác , cẳng tay"
M67.84,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , bàn tay"
M67.85,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , vùng chậu và đùi"
M67.86,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , cẳng chân"
M67.87,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , cổ và bàn chân"
M67.82,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , cánh tay"
M67.83,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , cẳng tay"
M67.38,"viêm màng hoạt dịch thoáng qua , vị trí khác"
M67.39,"viêm màng hoạt dịch thoáng qua , vị trí không xác định"
M67.4,nang hoạt dịch
M67.40,"nang hoạt dịch , nhiều vị trí"
M67.41,"nang hoạt dịch , vùng bả vai"
M67.42,"nang hoạt dịch , cánh tay"
M67.43,"nang hoạt dịch , cẳng tay"
M67.44,"nang hoạt dịch , bàn tay"
M67.45,"nang hoạt dịch , vùng chậu và đùi"
M67.46,"nang hoạt dịch , cẳng chân"
M67.47,"nang hoạt dịch , cổ và bàn chân"
M67.48,"nang hoạt dịch , vị trí khác"
M67.49,"nang hoạt dịch , vị trí không xác định"
M67.8,các bệnh của màng hoạt dịch và gân đặc hiệu khác
M67.94,"bệnh của màng hoạt dịch và gân không đặc hiệu , bàn tay"
M67.95,"bệnh của màng hoạt dịch và gân không đặc hiệu , vùng chậu và đùi"
M67.96,"bệnh của màng hoạt dịch và gân không đặc hiệu , cẳng chân"
M67.97,"bệnh của màng hoạt dịch và gân không đặc hiệu , cổ và bàn chân"
M67.98,"bệnh của màng hoạt dịch và gân không đặc hiệu , vị trí khác"
M67.99,"bệnh của màng hoạt dịch và gân không đặc hiệu , vị trí không xác định"
M68*,các bệnh của màng hoạt dịch và gân trong những bệnh phân loại nơi khác
M67.88,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , vị trí khác"
M67.89,"các bệnh của màng hoạt dịch và gân đặc hiệu khác , vị trí không xác định"
M67.9,bệnh của màng hoạt dịch và gân không đặc hiệu
M67.90,"bệnh của màng hoạt dịch và gân không đặc hiệu , nhiều vị trí"
M67.91,"bệnh của màng hoạt dịch và gân không đặc hiệu , vùng bả vai"
M67.92,"bệnh của màng hoạt dịch và gân không đặc hiệu , cánh tay"
M67.93,"bệnh của màng hoạt dịch và gân không đặc hiệu , cẳng tay"
M62.85,"các bệnh cơ đặc hiệu khác , vùng chậu và đùi"
M62.86,"các bệnh cơ đặc hiệu khác , cẳng chân"
M62.87,"các bệnh cơ đặc hiệu khác , cổ và bàn chân"
M62.66,"căng cơ quá mức , cẳng chân"
M62.67,"căng cơ quá mức , cổ và bàn chân"
M62.68,"căng cơ quá mức , vị trí khác"
M62.69,"căng cơ quá mức , vị trí không xác định"
M62.8,các bệnh cơ đặc hiệu khác
M62.80,"các bệnh cơ đặc hiệu khác , nhiều vị trí"
M66.20,"rách ( đứt ) tự nhiên các gân duỗi , nhiều vị trí"
M66.21,"rách ( đứt ) tự nhiên các gân duỗi , vùng bả vai"
M66.22,"rách ( đứt ) tự nhiên các gân duỗi , cánh tay"
M67.12,"các chứng co rút gân ( bao gân ) khác , cánh tay"
M67.13,"các chứng co rút gân ( bao gân ) khác , cẳng tay"
M67.14,"các chứng co rút gân ( bao gân ) khác , bàn tay"
M65.14,"viêm ( màng hoạt dịch ) bao gân nhiễm khuẩn khác , bàn tay"
M65.15,"viêm ( màng hoạt dịch ) bao gân nhiễm khuẩn khác , vùng chậu và đùi"
M65.16,"viêm ( màng hoạt dịch ) bao gân nhiễm khuẩn khác , cẳng chân"
M67.0,gân achille ( gót ) ngắn ( mắc phải )
M67.1,các chứng co rút gân ( bao gân ) khác
M67.10,"các chứng co rút gân ( bao gân ) khác , nhiều vị trí"
M67.11,"các chứng co rút gân ( bao gân ) khác , vùng bả vai"
M67.26,"phì đại màng hoạt dịch , không phân loại nơi khác , cẳng chân"
M67.27,"phì đại màng hoạt dịch , không phân loại nơi khác , cổ và bàn chân"
M67.28,"phì đại màng hoạt dịch , không phân loại nơi khác , vị trí khác"
M67.29,"phì đại màng hoạt dịch , không phân loại nơi khác , vị trí không xác định"
M67.3,viêm màng hoạt dịch thoáng qua
M67.15,"các chứng co rút gân ( bao gân ) khác , vùng chậu và đùi"
M66.56,"rách ( đứt ) tự nhiên các gân không xác định , cẳng chân"
M66.57,"rách ( đứt ) tự nhiên các gân không xác định , cổ và bàn chân"
M66.58,"rách ( đứt ) tự nhiên các gân không xác định , vị trí khác"
M66.59,"rách ( đứt ) tự nhiên các gân không xác định , vị trí không xác định"
M67,các bệnh khác của màng hoạt dịch và gân
M67.18,"các chứng co rút gân ( bao gân ) khác , vị trí khác"
M67.19,"các chứng co rút gân ( bao gân ) khác , vị trí không xác định"
M67.2,"phì đại màng hoạt dịch , không phân loại nơi khác"
M67.20,"phì đại màng hoạt dịch , không phân loại nơi khác , nhiều vị trí"
M67.21,"phì đại màng hoạt dịch , không phân loại nơi khác , vùng bả vai"
M67.16,"các chứng co rút gân ( bao gân ) khác , cẳng chân"
M67.17,"các chứng co rút gân ( bao gân ) khác , cổ và bàn chân"
M72.60,"viêm cân mạc hoại tử , nhiều vị trí"
M72.61,"viêm cân mạc hoại tử , vùng bả vai"
M72.62,"viêm cân mạc hoại tử , cánh tay"
